Date,Allergens
2019-01-01,"Cedar Medium 346 gr/m3, Mold Medium"
2019-01-02,Mold Low.
2019-01-03,Mold Low.
2019-01-04,Mold Low.
2019-01-05,"Cedar Low 20 gr/m3, Mold Medium"
2019-01-06,"Cedar Low 20 gr/m3, Mold Medium"
2019-01-07,"Cedar Low 27 gr/m3, Mold Medium."
2019-01-08,"Cedar Low 486 gr/m3, Mold High."
2019-01-09,"Cedar High 1232 gr/m3, Mold Medium."
2019-01-10,"Cedar Low 60 gr/m3, Mold Medium."
2019-01-11,"Cedar Low 67 gr/m3, Mold Medium."
2019-01-12,Mold High.
2019-01-13,"Cedar Medium 326 gr/m3, Mold High."
2019-01-14,"Cedar Medium 160 gr/m3, Mold Low."
2019-01-15,"Cedar Medium 100 gr/m3, Mold Low"
2019-01-16,"Cedar Low 13 gr/m3, Mold Moderate with Alternaria."
2019-01-17,"Cedar Low 7 gr/m3, Mold Moderate."
2019-01-18,"Cedar Low 40 gr/m3, Mold Low."
2019-01-19,"Cedar Low 87 gr/m3, Mold Low"
2019-01-20,"Cedar High 638 gr/m3, Mold Low"
2019-01-21,"Cedar Low 20 gr/m3, Mold High with Alternaria."
2019-01-22,"Cedar Medium 126 gr/m3, Mold High with Alternaria."
2019-01-23,"Cedar Medium 146 gr/m3, Mold Low."
2019-01-24,"Cedar Low 20 gr/m3, Mold Medium."
2019-01-25,"Cedar Low 220 gr/m3, Mold High with Alternaria."
2019-01-26,"Cedar Low 20 gr/m3, Mold High"
2019-01-27,"Cedar Low 13 gr/m3, Mold Medium."
2019-01-28,"Cedar Low 27 gr/m3, Mold High with Alternaria."
2019-01-29,"Cedar Low 73 gr/m3, Mold Medium."
2019-01-30,"Elm Medium 86 gr/m3, Cedar Low 27 gr/m3, Mold High."
2019-01-31,"Elm Medium 53 gr/m3, Cedar Low 53 gr/m3, Mold High with Alternaria."
2019-02-01,"Elm Low 13 gr/m3, Cedar Low 27 gr/m3, Mold High with Alternaria."
2019-02-02,"Elm High 279 gr/m3, Cedar Medium 147 gr/m3, Mold High."
2019-02-03,"Elm Low 70 gr/m3, Mold High"
2019-02-04,"Elm Low 13 gr/m3, Cedar Low 7 gr/m3, Mold High with Alternaria."
2019-02-05,"Elm High 93 gr/m3, Ash Low 13 gr/m3, Cedar Low 7 gr/m3, Mold High with Alternaria."
2019-02-06,"Elm Moderate 66 gr/m3, Ash Low 47 gr/m3, Cedar Low 27 gr/m3, Mold High with Alternaria."
2019-02-07,"Elm High 506 gr/m3, Ash High 113 gr/m3, Cedar Low 40 gr/m3, Mold High with Alternaria."
2019-02-08,"Elm High 346 gr/m3, Ash High 113 gr/m3, Mold Medium with Alternaria."
2019-02-09,"Elm High 219 gr/m3, Ash High 93 gr/m3, Mold Medium."
2019-02-10,"Elm Low 27 gr/m3, Ash Low 53 gr/m3, Mold Medium."
2019-02-11,"Elm Low 13 gr/m3, Ash Low 20 gr/m3, Mold Medium."
2019-02-12,"Elm Medium 33 gr/m3, Ash Medium 40 gr/m3, Mold Medium with Alternaria."
2019-02-13,"Elm Medium 20 gr/m3, Ash Medium 27 gr/m3, Mold Medium with Alternaria."
2019-02-14,"Elm High 93 gr/m3, Ash Medium 46 gr/m3, Mold Low."
2019-02-15,"Elm High 200 gr/m3, Ash High 113 gr/m3, Mold High with Alternaria."
2019-02-16,"Elm High 3383 gr/m3, Ash High 3290 gr/m3, Mold Medium"
2019-02-17,"Elm High 160 gr/m3, Ash High 313 gr/m3, Mold Low"
2019-02-18,"Oak High 133 gr/m3, Elm High 126 gr/m3, Ash High 119 gr/m3, Mold Low."
2019-02-19,"Oak High 153 gr/m3, Elm High 126 gr/m3, Ash High 106 gr/m3, Mold Medium."
2019-02-20,Mold Low.
2019-02-21,"Oak Medium 20 gr/m3, Elm High 153 gr/m3, Ash Medium 40 gr/m3, Mold Medium with Alternaria."
2019-02-22,"Elm Medium 40 gr/m3, Ash High 93 gr/m3, Mold Medium."
2019-02-23,"Oak Low 7 gr/m3, Elm High 93 gr/m3, Ash High 113 gr/m3, Mold Low"
2019-02-24,"Oak Medium 87 gr/m3, Elm High 226 gr/m3, Mold Medium"
2019-02-25,"Oak High 266 gr/m3, Ash High 93 gr/m3, Elm Medium 40 gr/m3, Mold Medium."
2019-02-26,"Ash Medium 27 gr/m3, Elm Low 13 gr/m3, Mold High with Alternaria."
2019-02-27,"Oak Low 13 gr/m3, Ash Medium 20 gr/m3, Elm High 100 gr/m3, Mold High with Alternaria."
2019-02-28,"Ash High 120 gr/m3, Oak Medium 53 gr/m3, Elm Medium 53 gr/m3, Mold High"
2019-03-01,"Oak Medium 80 gr/m3, Mold Medium."
2019-03-02,"Ash Medium 47 gr/m3, Oak Medium 27 gr/m3, Elm Medium 20 gr/m3, Mold Medium"
2019-03-03,"Oak Medium 60 gr/m3, Elm High 107 gr/m3, Mold Low"
2019-03-04,Mold Low.
