Date,Allergen,Severity,Measure
2019-01-01,Cedar,Medium,346
2019-01-01,Mold,Medium,
2019-01-02,Mold,Low,
2019-01-03,Mold,Low,
2019-01-04,Mold,Low,
2019-01-05,Cedar,Low,20
2019-01-05,Mold,Medium,
2019-01-06,Mold,Medium,
2019-01-06,Cedar,Low,20
2019-01-07,Cedar,Low,27
2019-01-07,Mold,Medium,
2019-01-08,Cedar,Low,486
2019-01-08,Mold,High,
2019-01-09,Cedar,High,1232
2019-01-09,Mold,Medium,
2019-01-10,Mold,Medium,
2019-01-10,Cedar,Low,60
2019-01-11,Mold,Medium,
2019-01-11,Cedar,Low,67
2019-01-12,Mold,High,
2019-01-13,Cedar,Medium,326
2019-01-13,Mold,High,
2019-01-14,Cedar,Medium,160
2019-01-14,Mold,Low,
2019-01-15,Cedar,Medium,100
2019-01-15,Mold,Low,
2019-01-16,Mold,Moderate,
2019-01-16,Cedar,Low,13
2019-01-17,Cedar,Low,7
2019-01-17,Mold,Moderate,
2019-01-18,Cedar,Low,40
2019-01-18,Mold,Low,
2019-01-19,Cedar,Low,87
2019-01-19,Mold,Low,
2019-01-20,Cedar,High,638
2019-01-20,Mold,Low,
2019-01-21,Mold,High,
2019-01-21,Cedar,Low,20
2019-01-22,Cedar,Medium,126
2019-01-22,Mold,High,
2019-01-23,Cedar,Medium,146
2019-01-23,Mold,Low,
2019-01-24,Cedar,Low,20
2019-01-24,Mold,Medium,
2019-01-25,Mold,High,
2019-01-25,Cedar,Low,220
2019-01-26,Cedar,Low,20
2019-01-26,Mold,High,
2019-01-27,Cedar,Low,13
2019-01-27,Mold,Medium,
2019-01-28,Cedar,Low,27
2019-01-28,Mold,High,
2019-01-29,Mold,Medium,
2019-01-29,Cedar,Low,73
2019-01-30,Mold,High,
2019-01-30,Elm,Medium,86
2019-01-30,Cedar,Low,27
2019-01-31,Elm,Medium,53
2019-01-31,Cedar,Low,53
2019-01-31,Mold,High,
2019-02-01,Elm,Low,13
2019-02-01,Cedar,Low,27
2019-02-01,Mold,High,
2019-02-02,Elm,High,279
2019-02-02,Cedar,Medium,147
2019-02-02,Mold,High,
2019-02-03,Elm,Low,70
2019-02-03,Mold,High,
2019-02-04,Mold,High,
2019-02-04,Elm,Low,13
2019-02-04,Cedar,Low,7
2019-02-05,Cedar,Low,7
2019-02-05,Mold,High,
2019-02-05,Elm,High,93
2019-02-05,Ash,Low,13
2019-02-06,Cedar,Low,27
2019-02-06,Mold,High,
2019-02-06,Elm,Moderate,66
2019-02-06,Ash,Low,47
2019-02-07,Elm,High,506
2019-02-07,Ash,High,113
2019-02-07,Cedar,Low,40
2019-02-07,Mold,High,
2019-02-08,Elm,High,346
2019-02-08,Ash,High,113
2019-02-08,Mold,Medium,
2019-02-09,Mold,Medium,
2019-02-09,Elm,High,219
2019-02-09,Ash,High,93
2019-02-10,Elm,Low,27
2019-02-10,Ash,Low,53
2019-02-10,Mold,Medium,
2019-02-11,Mold,Medium,
2019-02-11,Elm,Low,13
2019-02-11,Ash,Low,20
2019-02-12,Ash,Medium,40
2019-02-12,Mold,Medium,
2019-02-12,Elm,Medium,33
2019-02-13,Elm,Medium,20
2019-02-13,Ash,Medium,27
2019-02-13,Mold,Medium,
2019-02-14,Elm,High,93
2019-02-14,Ash,Medium,46
2019-02-14,Mold,Low,
2019-02-15,Mold,High,
2019-02-15,Elm,High,200
2019-02-15,Ash,High,113
2019-02-16,Mold,Medium,
2019-02-16,Elm,High,3383
2019-02-16,Ash,High,3290
2019-02-17,Elm,High,160
2019-02-17,Ash,High,313
2019-02-17,Mold,Low,
2019-02-18,Ash,High,119
2019-02-18,Oak,High,133
2019-02-18,Elm,High,126
2019-02-18,Mold,Low,
2019-02-19,Mold,Medium,
2019-02-19,Ash,High,106
2019-02-19,Oak,High,153
2019-02-19,Elm,High,126
2019-02-20,Mold,Low,
2019-02-21,Oak,Medium,20
2019-02-21,Elm,High,153
2019-02-21,Ash,Medium,40
2019-02-21,Mold,Medium,
2019-02-22,Ash,High,93
2019-02-22,Mold,Medium,
2019-02-22,Elm,Medium,40
2019-02-23,Oak,Low,7
2019-02-23,Elm,High,93
2019-02-23,Ash,High,113
2019-02-23,Mold,Low,
2019-02-24,Oak,Medium,87
2019-02-24,Elm,High,226
2019-02-24,Mold,Medium,
2019-02-25,Mold,Medium,
2019-02-25,Elm,Medium,40
2019-02-25,Oak,High,266
2019-02-25,Ash,High,93
2019-02-26,Ash,Medium,27
2019-02-26,Elm,Low,13
2019-02-26,Mold,High,
2019-02-27,Oak,Low,13
2019-02-27,Ash,Medium,20
2019-02-27,Elm,High,100
2019-02-27,Mold,High,
2019-02-28,Ash,High,120
2019-02-28,Oak,Medium,53
2019-02-28,Elm,Medium,53
2019-02-28,Mold,High,
2019-03-01,Mold,Medium,
2019-03-01,Oak,Medium,80
2019-03-02,Elm,Medium,20
2019-03-02,Mold,Medium,
2019-03-02,Ash,Medium,47
2019-03-02,Oak,Medium,27
2019-03-03,Mold,Low,
2019-03-03,Elm,High,107
2019-03-03,Oak,Medium,60
2019-03-04,Mold,Low,
2019-03-05,Oak,Medium,27
2019-03-05,Elm,Low,13
2019-03-05,Ash,Low,13
2019-03-05,Mold,Low,
2019-03-06,Mold,Low,
2019-03-07,Ash,Medium,27
2019-03-07,Mold,Medium,
2019-03-07,Oak,Medium,27
2019-03-07,Elm,Medium,53
2019-03-08,Oak,Medium,20
2019-03-08,Elm,Medium,60
2019-03-08,Ash,Low,7
2019-03-08,Mold,Medium,
2019-03-09,Elm,High,93
2019-03-09,Ash,Medium,33
2019-03-09,Mold,High,
2019-03-10,Mold,Medium,
