MonthYear,Day,Allergens
September 2019,1,Mold Medium.
September 2019,2,Mold Medium.
September 2019,3,Molds High with Alternaria.
September 2019,4,Mold Medium
September 2019,5,"Fall Elm Low 7 gr/m3, Grass Medium 20 gr/m3, and Mold Medium with Alternaria"
September 2019,6,Mold Medium.
September 2019,7,Mold Medium.
September 2019,8,"Grass Medium 13 gr/m3, and Mold Medium with Alternaria"
September 2019,9,"Ragweed medium 13 gr/m3, Mold Medium with alternaria"
September 2019,10,"Ragweed Low 7 gr/m3, Mold Medium"
September 2019,11,"Ragweed Low 7 gr/m3, Mold Medium"
September 2019,12,"Ragweed Medium 27 gr/m3, Mold Medium with Alternaria."
September 2019,13,"Ragweed Medium 20 gr/m3, Mold Medium with Alternaria."
September 2019,14,"Ragweed Medium 20 gr/m3, Mold Low."
September 2019,15,"Ragweed Medium 13 gr/m3, Molds High with Alternaria"
September 2019,16,"Ragweed High 53 gr/m3, Molds High with Alternaria"
September 2019,17,"Ragweed Low 7 gr/m3, Mold High with Alternaria"
September 2019,18,"Ragweed High 127 gr/m3, Mold High with Alternaria"
September 2019,19,"Ragweed High 106 gr/m3, Mold High with Alternaria"
September 2019,20,"Ragweed High 133 gr/m3, Mold High with Alternaria"
September 2019,21,"Ragweed High 60 gr/m3, Mold High with Alternaria"
September 2019,22,
September 2019,23,"Ragweed Medium 47 gr/m3, Mold High with Alternaria, Fall Elm Low 13 gr/m3"
September 2019,24,"Ragweed High 133 gr/m3, Mold High with Alternaria, Fall Elm Med 20 gr/m3"
September 2019,25,"Ragweed High 80 gr/m3, Mold High with Alternaria, Fall Elm Med 20 gr/m3"
September 2019,26,"Ragweed High 107 gr/m3, Mold High with Alternaria, Fall Elm Med 20 gr/m3"
September 2019,27,"Ragweed High 117 gr/m3, Mold High with Alternaria, Fall Elm Med 27 gr/m3"
September 2019,28,"Ragweed High 66 gr/m3, Fall Elm Medium 20 gr/m3, Mold High with Alternaria"
September 2019,29,"Ragweed High 60 gr/m3, Fall Elm Low 13 gr/m3, Mold High with Alternaria"
September 2019,30,"Ragweed High 67 gr/m3, Fall Elm Low 13 gr/m3, Mold High with Alternaria"
April 2019,1,"Oak High 646 gr/m3, Grass High 47 gr/m3, Ash Medium 20 gr/m3, Mold Low."
April 2019,2,"Oak High 380 gr/m3, Grass Medium 20 gr/m3, Ash Medium 26 gr/m3, Mold Low."
April 2019,3,"Oak High 353 gr/m3, Grass Medium 13 gr/m3, Ash Low 7 gr/m3, Mold Medium."
April 2019,4,"Oak High 147 gr/m3, Grass High 106 gr/m3, Ash Medium 27 gr/m3, High Medium."
April 2019,5,"Oak High 2350 gr/m3, Grass High 67 gr/m3, Ash Medium 27"
April 2019,6,"Oak High 1519 gr/m3, Grass High 400 gr/m3, Ash Medium 53 gr/m3, Mold Medium with Alternaria"
April 2019,7,"Oak Medium 153 gr/m3, Grass Medium 13 gr/m3, Mold Medium."
April 2019,8,"Oak Medium 33 gr/m3, Grass High 40 gr/m3, Ash Low 13 gr/m3,"
April 2019,9,"Oak High 892 gr/m3, Grass High 46 gr/m3, Mold High with Alternaria."
April 2019,10,"Oak High 140 gr/m3, Grass High 46 gr/m3, Mold Medium with Alternaria."
April 2019,11,"Oak Medium 67 gr/m3, Grass Medium 20 gr/m3, Ash Low 7 gr/m3, Mold Medium with Alternaria."
April 2019,12,"Oak High 912 gr/m3, Grass Medium 20 gr/m3, Mold Medium."
April 2019,13,"Oak High 306 gr/m3, Grass High 153 gr/m3, Mold Low."
April 2019,14,"Oak High 233 gr/m3, Grass High 53 gr/m3, Mold Medium"
April 2019,15,"Oak Medium 27 gr/m3, Grass Medium 13 gr/m3, Mold Medium."
April 2019,16,"Oak Low 13 gr/m3, Grass Low 7 gr/m3, Mold Medium with Alternaria."
April 2019,17,"Oak High 100 gr/m3, Grass Medium 20 gr/m3, Mold Medium with Alternaria."
April 2019,18,"Oak Medium 60 gr/m3,"
April 2019,19,"Oak High 93 gr/m3, Grass High 47 gr/m3, Mold Medium"
April 2019,20,"Oak Medium 67 gr/m3, Grass Medium 20 gr/m3, Mold Medium with Alternaria"
April 2019,21,"Oak Medium 80 gr/m3, Pecan Medium 20 gr/m3, Grass Low 7 gr/m3, Mold Medium with Alternaria"
April 2019,22,"Oak Medium 53 gr/m3, Grass Medium 13 gr/m3, Mold Medium with Alternaria"
April 2019,23,"Oak Medium 33 gr/m3, Grass High 27 gr/m3, Mold Medium"
April 2019,24,Mold Low
April 2019,25,"Oak Medium 47 gr/m3, Grass Medium 13 gr/m3, Mold Low"
April 2019,26,"Oak Medium 53 gr/m3, Grass Medium 13 gr/m3, Mold Medium with Alternaria"
April 2019,27,"Oak Medium 40 gr/m3, Grass High 80 gr/m3, Pecan Medium 87 gr/m3, Mold Medium with Alternaria"
April 2019,28,"Pecan Medium 27 gr/m3, Mold Low"
April 2019,29,"Oak Low 13 gr/m3, Grass High 67 gr/m3, Pecan Medium 53 gr/m3, Mold Low."
April 2019,30,"Pecan Low 13 gr/m3, Grass High 33 gr/m3, Mold Low"
August 2019,1,Molds High with Alternaria
August 2019,2,Molds Medium with Alternaria
